Feature_1,Feature_2,Correlation
spec_rolloff_std_hz,dmfcc13_std,0.22736209922309103
dmfcc13_mean,shimmer_local,0.21557881804897489
dmfcc6_std,shimmer_local,0.21173782386678516
spec_rolloff_std_hz,dmfcc3_mean,0.20577208404039282
shimmer_local,mfcc11_std,0.204074806164062
mfcc1_std,shimmer_local,0.17943057532095852
mfcc10_std,shimmer_local,0.16717116493158504
dmfcc13_std,dmfcc13_mean,0.1659210756210532
mfcc3_std,shimmer_local,0.16284327176949145
dmfcc7_std,dmfcc3_mean,0.15856038615687024
spec_centroid_mean_hz,shimmer_local,0.1542125193773171
dmfcc13_mean,mfcc10_std,0.1362931681040593
dmfcc11_std,spec_centroid_mean_hz,0.1257235147438955
spec_centroid_mean_hz,dmfcc3_mean,0.12199324799053846
shimmer_local,mfcc2_mean,0.11064100636475385
spec_centroid_mean_hz,dmfcc7_std,0.10412100073819004
spec_rolloff_std_hz,dmfcc13_mean,0.09880524128364311
dmfcc11_std,dmfcc3_mean,0.09766163019593611
dmfcc13_mean,mfcc13_std,0.09763207904939251
dmfcc3_mean,mfcc11_std,0.09446937846012078
spec_rolloff_std_hz,shimmer_local,0.09282305230566242
dmfcc13_mean,mfcc11_std,0.09223737882862558
dmfcc11_std,dmfcc13_mean,0.08452082423226291
dmfcc13_std,dmfcc3_mean,0.07870253029994952
dmfcc13_mean,mfcc2_mean,0.07734674393385355
dmfcc3_mean,mfcc2_mean,0.07491223336256643
dmfcc3_mean,mfcc10_std,0.07413770047259549
spec_centroid_mean_hz,dmfcc6_std,0.0720436296124676
dmfcc13_mean,dmfcc7_std,0.06591261503490094
dmfcc3_mean,mfcc13_std,0.06457592328457522
dmfcc13_mean,mfcc9_std,0.060129172529464536
dmfcc3_mean,dmfcc6_std,0.05962206060616091
spec_centroid_mean_hz,mfcc9_std,0.05762378818231756
spec_centroid_mean_hz,dmfcc13_mean,0.05482339505600145
dmfcc3_mean,mfcc9_std,0.044363618932309584
spec_centroid_mean_hz,mfcc13_std,0.043102963062260864
spec_centroid_mean_hz,mfcc10_std,0.03993682874016148
spec_centroid_mean_hz,mfcc3_std,0.03535676723973828
dmfcc13_std,spec_centroid_mean_hz,0.026392170629442428
dmfcc13_mean,mfcc1_std,0.02359033944860636
dmfcc13_mean,mfcc3_std,0.0083636962231653
dmfcc3_mean,mfcc1_std,0.006538078869891959
spec_centroid_mean_hz,mfcc11_std,0.006354810369574726
dmfcc3_mean,shimmer_local,0.0032243410793159014
dmfcc3_mean,mfcc3_std,0.00319333865030489
dmfcc13_mean,dmfcc6_std,0.002933216253910492
spec_centroid_mean_hz,mfcc1_std,0.0028679269705529694
